0  9.374099999999997  
1  17.2869            
2  14.06909999999999 
3  13.08720000000000 
4  14.2832            
5  14.28169999999999 
6  14.86750000000000 
7  15.68339999999999
8  16.51269999999999 16.512699999999995
9  88.89980000000001 16.0842            
10 90.998            17.286000000000012 
11 92.6463           17.616299999999995 
12 93.98649999999998 18.908199999999994 
13 95.53740000000002 19.916599999999995 95.53740000000002 
14 86.09270000000001 20.704099999999993 96.89139999999999  
15 87.13419999999996 22.126800000000003 97.69160000000004 
16 87.53200000000001 22.90999999999999  98.0695           
17 87.4725           23.142099999999996 98.34530000000004 
18 86.590303030303   21.201800000000006 98.27510000000002 
19 88.1815189873418  25.957411764705885 96.63841463414634 
20 93.25818181818182 13.809642857142858 89.89291666666666 
